recordId,优先级,当前状态,反馈日期,提报人,跟进人,类型,问题描述,备注说明
"","","","","","","BUG","",""
"","","","","","","BUG","",""
"image.png, image.png, image.png","P0","新增","dylon","","刘瀚卿, ham","BUG","精准搜索：非会员账号，通过精准搜索点击“联系对方”却能解锁私信并发送消息（手机号 15356138328），正确应无法联系对方且阻断提醒。若此账号能解锁私信是因有未使用的 3 次解锁机会，则在此处依然错误，正确应跳转至尊会员页（精准搜索为至尊会员特定权限），详见截图prd",""
"","P0","新增","dylon","","刘瀚卿, ham","BUG","首页嘉宾列表：已开通至尊会员的账号（手机号13246789715），首页无嘉宾数据，并报错提示“加载失败”，未开通会员账号数据一切正常","@刘瀚卿 @ham这个问题要抓紧解决，不然会员身份账号的很多功能没法测试"
"","P1","验收通过","dylon","","ham","BUG","点击嘉宾卡片的 “联系对方” 按钮，跳转至私信页后，报错提示创建会话失败",""
"image.png","P0","验收通过","dylon","","刘瀚卿, ham","BUG","点击嘉宾卡片的 “联系对方” 按钮，跳转至私信页后，顶部提示连接失败",""
"image.png","P0","待验收","dylon","","刘瀚卿, ham","BUG","使用免费解锁次数建立了私信会话，但进去后，底部菜单又被锁定了，且有不知名toast提示",""
"","P0","验收通过","刘瀚卿","","ham","BUG","点击消息列表进入会话，退出时会显示“录音失败”",""
"","P1","验收通过","刘瀚卿","","ham","BUG","看过我进入查看完后退出，右上角的 badge 标签仍然存在","服务端已支持列表级清理，前端需要优化下展示流程"
"","P0","验收通过","刘瀚卿","","刘瀚卿, ham","BUG"," 地区城市下拉框选择项不全","@刘瀚卿 这是哪里的城市下拉框，注意验收"
"","P0","验收通过","刘瀚卿","","ham","BUG","预览资料中的部分信息呈现未填写，但是在编辑资料一栏中没有填写的地方","@刘瀚卿具体是哪部分信息"
"","P0","验收通过","刘瀚卿","","ham","BUG","非常奇怪的一点，在体验版程序中，微信一点登录会一直报错登录失败，无论怎么重试，并且服务端收不到日志，但是打开开发调试，重新进入后，就可以登录成功，不知道这是什么原因，是不是开启调试模式后才是测试环境地址？","是的，只有打开开发调试才能够使用IP进行访问"
"img_v3_02uq_e7caf351-05ca-4a83-83fb-0b3e856b8f3g.jpg","P2","验收通过","刘瀚卿","","ham","BUG","消息聊天进入会话会从头开始，而不是定位到最近一次会话（最下方）","@刘瀚卿 没看懂问题，注意验收哈"
"image.png","P0","验收通过","dylon","","刘瀚卿","BUG","嘉宾卡片外显的相亲说明内容显示错误，与详情页内容不一致","match_desc返回的内容不匹配"
"image.png","P0","验收通过","dylon","","刘瀚卿","BUG","嘉宾详情页，未正常显示家长头像、姓氏称呼、亲属关系字段","parent没有展示对应的数据 fetch(""http://14.103.101.225:8880/api/v1/profile/child/1780"", {"
"image.png","P0","验收通过","dylon","","刘瀚卿","BUG","嘉宾详情页：机器人家长的姓氏，从 前 100 名姓氏里随机选择，详见截图",""
"image.png","P0","验收通过","dylon","","ham","BUG","嘉宾详情页：机器人账号为孩子本人时，需有“本人”后缀，详见需求文档",""
"image.png","P0","验收通过","dylon","","ham","BUG","嘉宾详情页，目前交换照片功能未实现","前端查看查看接入指南"
"image.png","P2","验收通过","dylon","","ham","BUG","嘉宾详情页，目前举报功能未实现",""
"image.png","P1","验收通过","dylon","","ham","BUG","嘉宾详情页--举报：若任一方未联系过对方，正确应在详情页点击“举报”按钮时就 toast提示“您未联系过对方，无法举报！” ，目前错误在弹框出现后点击选项才弹框提示（这里也不应是弹框）",""
"image.png","P0","验收通过","dylon","","ham, 刘瀚卿","BUG","私信会话页：点击发送消息时，提示发送失败",""
"image.png, image.png","P0","验收通过","dylon","","ham, 刘瀚卿","BUG","屏蔽嘉宾后，若回到嘉宾列表页还有此人，则再次点其卡片进入详情页，或点击“联系对方”按钮，则统一显示已屏蔽状态页即可，目前情况是前者进去会提示加载失败且白屏，后者进入私聊页提示加载失败","后端接口支持，前端优化展示，无需后端接入"
"image.png","P1","验收通过","dylon","","ham","BUG","屏蔽嘉宾后，进入该嘉宾已屏蔽状态页，默认进入后的提示内容显示不全，需手动上滑查看",""
"image.png","P1","验收通过","dylon","","ham","BUG","屏蔽嘉宾后，进入该嘉宾详情页，正确应同上问题显示一致，而不是直接白屏且提示加载失败",""
"image.png","P1","验收通过","dylon","","ham","BUG","聊天室页，点击顶部家长红框区域，统一跳对方个人资料详情页",""
"image.png, image.png","P1","验收未通过","dylon","","ham","BUG","嘉宾详情页，底部“未收藏、已收藏”按钮状态未做区分，需对照视觉稿修改","这个地方有点不符合预期"
"image.png","P0","验收通过","dylon","","ham","BUG","首页点击“收藏”入口，正确是无论是否会员，都可以进入该页，目前错误提示了会员开通阻断弹框",""
"image.png, image.png","P1","修复中","dylon","","ham, 刘瀚卿","BUG","上传孩子照片时，缺少做人脸验证，需求详见截图 2","@ham"
"image.png, image.png","P2","待验收","dylon","","ham","BUG","1、虽然能正常录制语音，但录制交互理解成本高，需对照视觉稿进行优化",""
"","P0","新增","dylon","","ham","BUG","目前在不同页面的不同按钮解锁会话时，其实现的交互有些混乱，需要统一梳理，详见下方【新需求--3】",""
