"recordId","优先级","当前状态","反馈日期","提报人","跟进人","类型","问题描述","备注说明"
"recvbyoCJArWi7","P0","新增","2026-02-18","dylon","刘瀚卿, ham","BUG","首页嘉宾列表：已开通至尊会员的账号（手机号13246789715），首页无嘉宾数据，并报错提示“加载失败”，未开通会员账号数据一切正常","@刘瀚卿 @ham这个问题要抓紧解决，不然会员身份账号的很多功能没法测试"
"recvb19pOmSszZ","P0","新增","2026-02-12","dylon","刘瀚卿, ham","BUG","使用免费解锁次数建立了私信会话，但进去后，底部菜单又被锁定了，且有不知名toast提示",""
"recvaVILA9yltK","P0","验收未通过","2026-02-12","dylon","ham","BUG","2、嘉宾资料显示不全，需对照prd优化；",""
"recvb0UAnMTzie","P0","新增","2026-02-12","dylon","ham","BUG","点击“交换照片”，这里弹框样式以及文案错误（此处交互判断逻辑较多，需对照prd、视觉稿实现",""
"recvb0ZnkG3ykg","P0","验收通过","2026-02-12","dylon","ham","BUG","屏蔽A嘉宾后，回到嘉宾列表页从AI嘉宾再次点其卡片进入详情页时，会有多余toast提示",""
"recvb1hQFEBEwB","P0","验收通过","2026-02-12","dylon","ham","BUG","私信会话页：交换微信后的编辑框，显示不全",""
"recvaVNJ1QqGiR","P0","验收通过","2026-02-11","dylon","ham, 刘瀚卿","BUG","私信会话页：点击发送消息时，提示发送失败",""
"recvaVObazLq7I","P0","修复中","2026-02-11","dylon","ham","BUG","母问题解决了，但引发新问题：有过打招呼会话记录后（系统也算），正确是这时去举报是可以的，但此时错误提示了“您未联系过对方，无法举报！”，正确应可以举报且弹出弹框选项",""
"recvaVP4KZzCGP","P0","验收通过","2026-02-11","dylon","ham, 刘瀚卿","BUG","点击“交换照片”，提示请求失败",""
"recvaJXxEe59C0","P0","验收通过","2026-02-10","刘瀚卿","ham","BUG","所有的小图标 icon 都是方块",""
"recvaNzrEfGTfI","P0","验收通过","2026-02-10","刘瀚卿","ham","BUG","精准搜索的结果列表，现居地不是映射后的地址名，而是代码",""
