## 漏洞跟踪记录
log/截图	优先级	反馈时间	当前状态	提报人	父记录	类型	跟进人	问题描述	备注说明	问题复核
image.png, image.png	P2	1773417600000	新增	dylon		新需求	ham, 杨璐琳	通知提醒：用户未开启通知权限时，消息tab底部增加提醒栏（同首页提醒，UI背景栏改个色即可，见图 2），同时增加一个提醒弹框UI样式（图 1）		
image.png	P1	1773331200000	新增	dylon	设置页	BUG	刘瀚卿, ham	用户协议/隐私政策：目前 2 个文本内容错误且与UI稿不一致，需对照神仙亲家用户使用协议修改用户协议，对照神仙亲家隐私协议修改隐私协议		
image.png	P2	1773331200000	新增	dylon	开通会员页	BUG	刘瀚卿, ham	黄金会员：黄金会员身份，在“我的”首页，点击会员入口栏时，目前跳转黄金会员页选中“年卡黄金tab”，正确应在黄金会员页选中“至尊会员tab”		
img_v3_02vo_98ac2632-795a-42d6-97e3-097104d569bg.jpg	P0	1773331200000	新增	dylon	开通会员页	BUG	dylon	黄金会员：过期状态，待测点		
image.png, image.png	P1	1773331200000	新增	dylon	设置页	BUG	ham, 刘瀚卿	订单记录：目前购买明细、订单时间、金额展示文案错误（图 1），需对照prd优化（图 2）		
	P0	1773331200000	新增	dylon		BUG	ham, 刘瀚卿	邀请有奖：目前该功能未实现		
image.png	P1	1773331200000	新增	dylon	设置页	BUG	ham, 刘瀚卿	隐私政策摘要/个人信息收集清单/第三方共享个人信息清单：去掉此 3 栏，至保留“用户协议”、“隐私政策”栏即可		
image.png	P1	1773331200000	新增	dylon	设置页	BUG	ham, 刘瀚卿	申请注销账号/申请暂停相亲：目前2 栏未开发完整，且功能优先级低，第一期可先隐藏，二期迭代后再上线		
image.png	P0	1773331200000	新增	dylon	我的首页	BUG	ham, 刘瀚卿	其他功能：目前该模块缺少了“相亲红豆”、“账号切换”入口，正确应加上其入口，且去掉多余的“联系管家”、“防骗指南”入口，并按右侧UI稿排序		
image.png	P2	1773331200000	新增	dylon	我的首页	BUG	ham, 刘瀚卿	邀请好友：入口栏缺少“分享赚钱”标签，对照UI稿优化		
image.png, image.png	P0	1773331200000	新增	dylon	设置页	BUG	刘瀚卿, ham	通知权限：目前通知权限交互错误，可参考右侧图 UI稿和prd		
	P0	1773244800000	新增	dylon	我的首页	BUG	ham, 刘瀚卿	实名认证：第一次实名认证时，提示实名认证失败，具体状态提示为姓名、身份证号校对正确，与微信号的校对失败，点击“重新校对”按钮时，才校对成功且提示认证成功		
	P0	1773244800000	新增	dylon	开通会员页	BUG	刘瀚卿, ham	未支付订单		
image.png	P0	1773244800000	新增	dylon	未支付订单	BUG	刘瀚卿, ham	目前会提示多笔订单未支出，正确应至提示最新一笔；		
image.png	P0	1773244800000	新增	dylon	未支付订单	BUG	刘瀚卿, ham	目前待支付订单开通会员未明确，正确应显示“年度/季度/永久黄金会员、至尊会员”		
image.png	P0	1773244800000	新增	dylon	未支付订单	BUG	刘瀚卿, ham	目前倒计时直接为 00:00:00，正确应开始 2 小时倒计时		
image.png	P0	1773244800000	新增	dylon	未支付订单	BUG	刘瀚卿, ham	目前点击“立即支付”按钮以及整栏跳转到了订单列表页，正确应点击按钮再次以最近 1 次订单价重新拉起支付且点击按钮以外不跳转		
image.png	P0	1773244800000	新增	dylon	未支付订单	BUG	刘瀚卿, ham	目前“叉”掉订单提醒，又退出小程序再回到小程序后，订单提醒栏还在，正确应在回来后不会再显示提醒栏		
image.png	P0	1773244800000	新增	dylon	开通会员页	BUG	刘瀚卿, ham	挽留弹框：目前点击“返回”按钮后未触发挽留弹框，正确应弹出挽留弹框		
image.png	P1	1773244800000	新增	dylon	设置页	BUG	ham, 刘瀚卿	个性化推荐：目前点击入口栏直接从“已开启”变为“已关闭”，正确应点击“已开启”入口栏，弹出推荐开关弹框，弹框提示“关闭后，将不会再为您推荐个性化资料卡，卡片推荐精准度会下降”，按钮：取消/确认；点击按钮“取消”，关闭失败，弹框消失；点击按钮“确认”，关闭成功，弹框消失，入口栏状态变为“已关闭”；点击“已关闭”入口栏，开启成功，toast提示“已开启个性化推荐”，入口栏状态变为“已开启”		
image.png	P1	1773244800000	新增	dylon	设置页	BUG	ham, 刘瀚卿	打招呼语：目前打招呼语设置的交互、展示样式与UI稿不一致		
image.png	P1	1773244800000	新增	dylon	设置页	BUG	ham, 刘瀚卿	开启实名认证：目前未实名用户，点击该栏直接弹框提醒要先去实名认证，正确应先跳转至实名认证权益介绍页，再点击“开启实名认证”才出弹框提醒，对应UI稿如右图		
image.png	P1	1773244800000	新增	dylon	设置页	BUG	ham, 刘瀚卿	无门槛联系：目前无门槛联系能力未实现，若本期不做可隐藏入口，若确认在本期实现，可参考图 1prd，图 2 弹框样式做优化		
image.png	P1	1773244800000	新增	dylon	设置页	BUG	ham, 刘瀚卿	确认承诺书：1、目前点击“承诺并确认”按钮会二次弹框提示，正确应点击“承诺并确认”按钮后立即toast提示“已承诺”，同时，按钮变为置灰“已承诺”，页面打上“已承诺”水印；点击“已承诺”无反应，不可取消承诺书；2、目前承诺书页面UI展示内容错误，正确详见UI稿，且页面展示字段信息含：家长编号、当日承诺时间（实时更新，精确到年月日）、承诺状态		
image.png	P0	1773244800000	新增	dylon	我的首页	BUG	ham	实名认证：目前实名认证成功后离开已认证状态页，再回到已经认证状态页时，其姓名和身份证号会消失，正确应如之前		
image.png	P1	1773158400000	待发版验证	dylon	超级曝光	BUG	ham, 刘瀚卿	单次购买：目前单次购买成功未在当前页刷新出来一批超级曝光嘉宾，建议购买完成进入此页后，刷新一批		
image.png	P2	1773158400000	新增	dylon		UI页面还原度	ham, 刘瀚卿	看过我：卡片更多“···”操作弹框，2 个按钮时，底部留白太多		
image.png	P1	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	ham	看过我/收藏我：点击嘉宾卡片“···”按钮，目前是弹出操作弹框，正确应跳转至会员开通页（选中黄金tab），且弹框提示“查看详细资料受限 /平台严格保护用户隐私，开通会员方可查看对方详情”，点击弹框按钮“好的”弹框消失（弹框是后续加的，视觉可直接用截图 1 弹框样式套用）		
image.png	P2	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	看过我/我看过/我收藏的3 个tab页：会员身份，点击嘉宾卡片“···”按钮触发的弹框按钮，目前点击“举报”是跳过了举报选项页直接举报成功，正确应如详情资料页（图 1 ）举报，先填写举报原因		
image.png	P1	1773158400000	新增	dylon	浏览/收藏/解锁记录	BUG	ham, 刘瀚卿	看过我/我看过/我收藏的--tab页：会员身份，点击嘉宾卡片“···”按钮触发的弹框按钮，目前点击“屏蔽并删除”是跳过了二次确认弹框直接屏蔽成功，正确应如详情资料页（图 1 ）屏蔽，先填写二次弹框确认		
