"recordId","优先级","当前状态","反馈日期","提报人","跟进人","类型","问题描述","备注说明"
"recvbyoCJArWi7","P0","新增","2026-02-18","dylon","刘瀚卿, ham","BUG","首页嘉宾列表：已开通至尊会员的账号（手机号13246789715），首页无嘉宾数据，并报错提示“加载失败”，未开通会员账号数据一切正常","@刘瀚卿 @ham这个问题要抓紧解决，不然会员身份账号的很多功能没法测试"
"recvb19pOmSszZ","P0","新增","2026-02-12","dylon","刘瀚卿, ham","BUG","使用免费解锁次数建立了私信会话，但进去后，底部菜单又被锁定了，且有不知名toast提示",""
"recvaVILA9yltK","P0","验收未通过","2026-02-12","dylon","ham","BUG","2、嘉宾资料显示不全，需对照prd优化；",""
"recvb0UAnMTzie","P0","新增","2026-02-12","dylon","ham","BUG","点击“交换照片”，这里弹框样式以及文案错误（此处交互判断逻辑较多，需对照prd、视觉稿实现",""
"recvaVObazLq7I","P0","修复中","2026-02-11","dylon","ham","BUG","母问题解决了，但引发新问题：有过打招呼会话记录后（系统也算），正确是这时去举报是可以的，但此时错误提示了“您未联系过对方，无法举报！”，正确应可以举报且弹出弹框选项",""
"recvaEwEO8ipDZ","P0","验收未通过","2026-02-09","dylon","刘瀚卿, ham","BUG","首页嘉宾列表：机器人家长或本人头像与孩子照片不能用同一张，目前错误使用了同一张","@刘瀚卿@ham  嘉宾详情页的家长头像和孩子照片用同一张图是对的，但首页嘉宾卡片不对（其他地方展示嘉宾卡片的有同样问题）

现在两个都有展示，前端接入一下 @ham"
"recvaBxU5w4PtG","P0","新增","2026-02-08","dylon","ham","BUG","会员阻断：在黄金会员tab下，缺少了“至尊会员价格档”，详见截图视觉稿",""
"recvaBA0HUveCt","P0","新增","2026-02-08","dylon","ham","BUG","会员阻断：点击“马上开通”，直接拉起微信支付即可，现在错误跳转至会员开通权益页了",""
"recvaBBlGbGUZe","P0","新增","2026-02-08","dylon","ham","BUG","会员阻断：无论黄金还是至尊会员，排版样式、元素需要对照视觉稿进行优化",""
"recvaBJYoRro70","P0","新增","2026-02-08","dylon","ham","BUG","浏览/收藏/解锁记录：点击底部“开通会员”按钮，正确应弹出会员开通阻断弹框，而不是直接进入开会开通页面",""
"recvaD0EZfHBR9","P0","新增","2026-02-08","dylon","ham, 杨璐琳","BUG","超级曝光：单次购买完曝光后，应有对应弹框提示，详见prd",""
